Date,Startlist,Sex,City,Country,Distance,Period,Championship,Race
10/25/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127331,L,Soelden,Austria,Giant Slalom,1,0,1
10/26/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127332,M,Soelden,Austria,Giant Slalom,1,0,1
11/15/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127333,L,Levi,Finland,Slalom,1,0,2
11/16/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127334,M,Levi,Finland,Slalom,1,0,2
11/22/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127335,M,Gurgl,Austria,Slalom,1,0,3
11/23/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127336,L,Gurgl,Austria,Slalom,1,0,3
11/27/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127440,M,"Copper Mountain, CO",USA,Super G,1,0,4
11/28/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127441,M,"Copper Mountain, CO",USA,Giant Slalom,1,0,5
11/29/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127442,L,"Copper Mountain, CO",USA,Giant Slalom,1,0,4
11/30/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127443,L,"Copper Mountain, CO",USA,Slalom,1,0,5
12/04/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127340,M,Beaver Creek,USA,Downhill,1,0,6
12/05/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127341,M,Beaver Creek,USA,Super G,1,0,7
12/06/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127343,L,Tremblant,Canada,Giant Slalom,1,0,6
12/07/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127342,M,Beaver Creek,USA,Giant Slalom,1,0,8
12/07/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127344,L,Tremblant,Canada,Giant Slalom,1,0,7
12/12/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127347,L,St. Moritz,Switzerland,Downhill,1,0,8
12/13/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127348,L,St. Moritz,Switzerland,Downhill,1,0,9
12/13/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127350,M,Val d'Isere,France,Giant Slalom,1,0,9
12/14/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127349,L,St. Moritz,Switzerland,Super G,2,0,10
12/14/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127351,M,Val d'Isere,France,Slalom,2,0,10
12/16/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127352,L,Courchevel,France,Slalom,2,0,11
12/19/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127357,M,Val Gardena Südtirol,Italy,Super G,2,0,11
12/20/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127356,M,Val Gardena Südtirol,Italy,Downhill,2,0,12
12/20/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127360,L,Val d'Isere,France,Downhill,2,0,12
12/21/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127361,L,Val d'Isere,France,Super G,2,0,13
12/21/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127362,M,Alta Badia,Italy,Giant Slalom,2,0,13
12/22/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127363,M,Alta Badia,Italy,Slalom,2,0,14
12/27/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127364,M,Livigno,Italy,Super G,2,0,15
12/27/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127365,L,Semmering,Austria,Giant Slalom,2,0,14
12/28/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127366,L,Semmering,Austria,Slalom,2,0,15
01/03/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127367,L,Kranjska Gora,Slovenia,Giant Slalom,2,0,16
01/04/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127368,L,Kranjska Gora,Slovenia,Slalom,2,0,17
01/07/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127369,M,Madonna di Campiglio,Italy,Slalom,2,0,16
01/10/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127372,L,Zauchensee,Austria,Downhill,2,0,18
01/10/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127374,M,Adelboden,Switzerland,Giant Slalom,2,0,17
01/11/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127373,L,Zauchensee,Austria,Super G,2,0,19
01/11/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127375,M,Adelboden,Switzerland,Slalom,3,0,18
01/13/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127376,L,Flachau,Austria,Slalom,3,0,20
01/16/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127380,M,Wengen,Switzerland,Super G,3,0,19
01/17/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127381,M,Wengen,Switzerland,Downhill,3,0,20
01/17/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127385,L,Tarvisio,Italy,Downhill,3,0,21
01/18/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127382,M,Wengen,Switzerland,Slalom,3,0,21
01/18/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127386,L,Tarvisio,Italy,Super G,3,0,22
01/20/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127387,L,Kronplatz,Italy,Giant Slalom,3,0,23
01/23/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127391,M,Kitzbuehel,Austria,Super G,3,0,22
01/24/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127392,M,Kitzbuehel,Austria,Downhill,3,0,23
01/24/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127394,L,Spindleruv Mlyn,Czechia,Giant Slalom,3,0,24
01/25/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127393,M,Kitzbuehel,Austria,Slalom,3,0,24
01/25/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127395,L,Spindleruv Mlyn,Czechia,Slalom,3,0,25
01/27/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127396,M,Schladming,Austria,Giant Slalom,3,0,25
01/28/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127397,M,Schladming,Austria,Slalom,3,0,26
01/30/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127400,L,Crans Montana,Switzerland,Downhill,3,0,26
01/31/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127402,L,Crans Montana,Switzerland,Super G,3,0,27
02/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127404,M,Crans Montana,Switzerland,Downhill,3,0,27
02/07/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127541,M,Milano-Cortina,Italy,Downhill,4,1,28
02/08/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127535,L,Milano-Cortina,Italy,Downhill,4,1,28
02/09/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127542,M,Milano-Cortina,Italy,Team Combined,4,1,29
02/10/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127537,L,Milano-Cortina,Italy,Team Combined,4,1,29
02/11/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127543,M,Milano-Cortina,Italy,Super G,4,1,30
02/12/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127538,L,Milano-Cortina,Italy,Super G,4,1,30
02/14/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127544,M,Milano-Cortina,Italy,Giant Slalom,4,1,31
02/15/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127539,L,Milano-Cortina,Italy,Giant Slalom,4,1,31
02/16/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127545,M,Milano-Cortina,Italy,Slalom,4,1,32
02/18/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127540,L,Milano-Cortina,Italy,Slalom,4,1,32
02/28/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127412,L,Soldeu,Andorra,Downhill,5,0,33
02/28/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127407,M,Garmisch Partenkirchen,Germany,Downhill,5,0,33
03/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127413,L,Soldeu,Andorra,Super G,5,0,34
03/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127408,M,Garmisch Partenkirchen,Germany,Super G,5,0,34
03/07/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127417,L,Val di Fassa,Italy,Downhill,5,0,35
03/07/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127419,M,Kranjska Gora,Slovenia,Giant Slalom,5,0,35
03/08/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127418,L,Val di Fassa,Italy,Super G,5,0,36
03/08/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127420,M,Kranjska Gora,Slovenia,Slalom,5,0,36
03/14/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127424,M,Courchevel,France,Downhill,5,0,37
03/14/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127426,L,Are,Sweden,Giant Slalom,5,0,37
03/15/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127425,M,Courchevel,France,Super G,5,0,38
03/15/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127427,L,Are,Sweden,Slalom,5,0,38
03/21/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127433,M,Lillehammer,Norway,Downhill,5,0,39
03/21/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127432,L,Lillehammer,Norway,Downhill,5,0,39
03/22/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127435,M,Lillehammer,Norway,Super G,5,0,40
03/22/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127434,L,Lillehammer,Norway,Super G,5,0,40
03/24/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127436,M,Lillehammer,Norway,Giant Slalom,5,0,41
03/24/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127437,L,Lillehammer,Norway,Slalom,5,0,41
03/25/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127439,M,Lillehammer,Norway,Slalom,5,0,42
03/25/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=AL&raceid=127438,L,Lillehammer,Norway,Giant Slalom,5,0,42
