"Team_Name","Nation","Team_Rank","Race_Date","City","Country","Race_Type","Distance","Is_Present","Race1_Prob","Team_Points","TeamMembers","Total_Elo","Avg_Elo","Total_Individual_Elo","Avg_Individual_Elo","Total_Sprint_Elo","Avg_Sprint_Elo","Total_Pursuit_Elo","Avg_Pursuit_Elo","Total_MassStart_Elo","Avg_MassStart_Elo","Member_1_Elo","Member_1_Individual_Elo","Member_1_Sprint_Elo","Member_1_Pursuit_Elo","Member_1_MassStart_Elo","Member_1","Member_1_ID","Member_2_Elo","Member_2_Individual_Elo","Member_2_Sprint_Elo","Member_2_Pursuit_Elo","Member_2_MassStart_Elo","Member_2","Member_2_ID","Member_3_Elo","Member_3_Individual_Elo","Member_3_Sprint_Elo","Member_3_Pursuit_Elo","Member_3_MassStart_Elo","Member_3","Member_3_ID","Member_4_Elo","Member_4_Individual_Elo","Member_4_Sprint_Elo","Member_4_Pursuit_Elo","Member_4_MassStart_Elo","Member_4","Member_4_ID","MemberIDs"
"Austria","Austria",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Simon Eder,Fabian Müllauer,Patrick Jacob,Dominic Unterweger",5344.53464710093,1336.13366177523,5363.60387701244,1340.90096925311,5241.35561169488,1310.33890292372,5082.05729783532,1270.51432445883,5166.49660263101,1291.62415065775,1474.43574965115,1506.76663249077,1461.80456788074,1357.60647819221,1288.80551063456,"Simon Eder",11,1312.85770787459,1167.30074415481,1376.3905275122,1183.80149532786,1297.89404277909,"Fabian Müllauer",4798,1283.53447958853,1406.47197286477,1147.96856734404,1266.28949683771,1283.25568393737,"Patrick Jacob",1395,1273.70670998666,1283.06452750209,1255.1919489579,1274.35982747755,1296.54136528,"Dominic Unterweger",1884,"11,4798,1395,1884"
"Belgium","Belgium",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Thierry Langer,Florent Claude,Sam Parmantier,Marek Mackels",4976.97201476834,1244.24300369209,5355.52875680887,1338.88218920222,4952.13551616984,1238.03387904246,5092.02881339066,1273.00720334766,5107.23406985833,1276.80851746458,1446.04161816208,1427.62132267857,1417.63769166724,1241.11037485874,1290.34569460596,"Thierry Langer",917,1330.5104171709,1534.49596500055,1338.04954017335,1261.1540177855,1236.90478693351,"Florent Claude",494,1136.19384173613,1264.79541754146,1126.87565530687,1300,1295.50900096354,"Sam Parmantier",4880,1064.22613769923,1128.6160515883,1069.57262902238,1289.76442074642,1284.47458735532,"Marek Mackels",1804,"917,494,4880,1804"
"Bulgaria","Bulgaria",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Blagoy Todev,Konstantin Vasilev,Vladimir Iliev,Anton Sinapov",4995.33632908965,1248.83408227241,4727.64439215351,1181.91109803838,5027.955284336,1256.988821084,4894.09888317462,1223.52472079365,5109.36869316415,1277.34217329104,1387.89912645073,1353.18161095207,1368.06423452769,1271.29525538694,1293.24761570269,"Blagoy Todev",4563,1257.30499656173,1074.06480932227,1290.79577865855,1251.73068343826,1293.24761570269,"Konstantin Vasilev",4870,1252.30141162223,1163.9240433471,1263.22101323916,1234.34896702811,1229.62584605608,"Vladimir Iliev",123,1097.83079445496,1136.47392853206,1105.87425791061,1136.72397732131,1293.24761570269,"Anton Sinapov",1017,"4563,4870,123,1017"
"Canada","Canada",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Adam Runnalls,Zachary Connelly,Jasper Fleming,Logan Pletz",4685.27911349776,1171.31977837444,4870.58175626348,1217.64543906587,4727.82494526116,1181.95623631529,4973.5150969592,1243.3787742398,5164.25750531067,1291.06437632767,1312.04008085388,1349.35552763995,1317.59667186478,1191.6147888778,1284.579328772,"Adam Runnalls",1772,1188.18837186726,1203.96545682205,1218.1382508133,1228.31397011602,1286.6065027229,"Zachary Connelly",4568,1102.59432351121,1209.31178434032,1107.09363687691,1281.96563125583,1295.09379341016,"Jasper Fleming",5173,1082.45633726541,1107.94898746116,1084.99638570617,1271.62070670954,1297.9778804056,"Logan Pletz",4542,"1772,4568,5173,4542"
"Czechia","Czechia",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Michal Krcmar,Vitezslav Hornig,Tomas Mikyska,Mikulas Karlik",6062.28882940804,1515.57220735201,5740.82725453361,1435.2068136334,5986.8890218409,1496.72225546022,5310.14785586825,1327.53696396706,5143.79912693975,1285.94978173494,1626.19501562066,1546.1492855779,1594.4144287956,1362.13480411393,1298.30856809453,"Michal Krcmar",477,1612.96871373682,1544.09488752828,1572.87864113196,1405.92486342532,1279.57403798575,"Vitezslav Hornig",1786,1457.98698380725,1323.59840308727,1467.96109686487,1306.63061049432,1291.55552212203,"Tomas Mikyska",3483,1365.13811624331,1326.98467834016,1351.63485504847,1235.45757783468,1274.36099873744,"Mikulas Karlik",3124,"477,1786,3483,3124"
"Estonia","Estonia",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Kristo Siimer,Mark-Markos Kehva,Rene Zahkna,Jakob Kulbin",5046.17844421389,1261.54461105347,5631.23963624737,1407.80990906184,4956.74158367957,1239.18539591989,4930.23308305343,1232.55827076336,5148.98236730853,1287.24559182713,1326.21262680135,1411.30816680402,1318.46412407277,1206.67945248711,1261.39682671662,"Kristo Siimer",1578,1303.41832955408,1362.0383110254,1264.07357184776,1263.67492263237,1296.93941885903,"Mark-Markos Kehva",4856,1254.2663175343,1348.9739471431,1247.45171529636,1210.24975613444,1293.24761570269,"Rene Zahkna",1099,1162.28117032415,1508.91921127486,1126.75217246268,1249.62895179952,1297.39850603018,"Jakob Kulbin",4854,"1578,4856,1099,4854"
"Finland","Finland",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Tero Seppälä,Olli Hiidensalo,Tuomas Harjula,Otto Invenius",5940.79756151978,1485.19939037995,5693.55377518833,1423.38844379708,5937.53698396003,1484.38424599001,5128.53304265598,1282.133260664,5094.29324630625,1273.57331157656,1600.26837867416,1472.25572896657,1617.66768416004,1382.3272459833,1267.74960018265,"Tero Seppälä",1427,1528.78420714736,1489.75890641717,1448.94822649692,1322.08637561981,1228.43285359372,"Olli Hiidensalo",920,1454.30203502522,1394.0021790275,1453.2090994084,1226.83203795674,1306.11435211322,"Tuomas Harjula",1768,1357.44294067304,1337.53696077709,1417.71197389467,1197.28738309613,1291.99644041666,"Otto Invenius",3486,"1427,920,1768,3486"
"France","France",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Eric Perrot,Quentin Fillon Maillet,Emilien Jacquelin,Fabien Claude",7093.32251059308,1773.33062764827,6594.04377200442,1648.5109430011,6695.83642385346,1673.95910596337,6240.36320410285,1560.09080102571,5472.32191387572,1368.08047846893,1925.50378834503,1730.31814504452,1772.63733110457,1589.78295020426,1416.92798933692,"Eric Perrot",4591,1765.59574234584,1649.01494023513,1740.05426587243,1583.14227164942,1343.58771369087,"Quentin Fillon Maillet",992,1727.5244839968,1672.54753287053,1599.59464894341,1567.95485274261,1366.62903516277,"Emilien Jacquelin",1333,1674.6984959054,1542.16315385423,1583.55017793305,1499.48312950655,1345.17717568516,"Fabien Claude",1089,"4591,992,1333,1089"
"Germany","Germany",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Philipp Nawrath,Philipp Horn,David Zobel,Justus Strelow",6605.87974892707,1651.46993723177,6192.95069091958,1548.23767272989,6541.19389375308,1635.29847343827,5619.88916823111,1404.97229205778,5173.54806065983,1293.38701516496,1764.9288164949,1566.97471146723,1731.34072565177,1495.1676931425,1291.31869900476,"Philipp Nawrath",1091,1647.22045651625,1588.4101439743,1644.74025201481,1380.26171248713,1272.21720708548,"Philipp Horn",1707,1633.88560320454,1455.80540451259,1610.16683749969,1358.64565274223,1268.76683093457,"David Zobel",1571,1559.84487271138,1581.76043096546,1554.94607858681,1385.81410985925,1341.24532363502,"Justus Strelow",1389,"1091,1707,1571,1389"
"Italy","Italy",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Tommaso Giacomel,Lukas Hofer,Patrick Braunhofer,Nicola Romanin",6391.51233817467,1597.87808454367,6085.84681508263,1521.46170377066,6203.11348714745,1550.77837178686,5526.03787437625,1381.50946859406,5230.66436060578,1307.66609015144,1872.77729426179,1675.84430692236,1774.0640247806,1590.0952279153,1363.8755037442,"Tommaso Giacomel",4387,1723.02874758023,1566.28749368933,1637.9292260648,1436.14819632597,1304.78465913229,"Lukas Hofer",9,1410.69580635652,1426.35757563358,1431.02450480933,1192.55649354285,1286.67473426743,"Patrick Braunhofer",1872,1385.01048997614,1417.35743883736,1360.09573149272,1307.23795659213,1275.32946346185,"Nicola Romanin",1294,"4387,9,1872,1294"
"Latvia","Latvia",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Renars Birkentals,Andrejs Rastorgujevs,Rihards Lozbers,Edgars Mise",5333.10068933441,1333.2751723336,5450.2567950849,1362.56419877122,5364.43140728866,1341.10785182217,5026.07116860859,1256.51779215215,5179.01397159347,1294.75349289837,1503.15317354265,1433.82409086097,1499.86106320805,1183.64249720148,1272.67883358343,"Renars Birkentals",4452,1477.53147931621,1623.35792834902,1498.19588586593,1292.70964039119,1322.63628141419,"Andrejs Rastorgujevs",65,1232.31412472171,1273.24328349173,1223.6801048679,1288.09530273195,1294.84942829793,"Rihards Lozbers",5426,1120.10191175384,1119.83149238318,1142.69435334679,1261.62372828397,1288.84942829793,"Edgars Mise",4425,"4452,65,5426,4425"
"Lithuania","Lithuania",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Vytautas Strolia,Maksim Fomin,Nikita Cigak,Karol Dombrovski",5004.79216971117,1251.19804242779,5154.0118236924,1288.5029559231,4928.0206269624,1232.0051567406,5050.46834825751,1262.61708706438,5123.98695337265,1280.99673834316,1466.12138877806,1345.78684615013,1454.95953806277,1320.38137362496,1257.19099221458,"Vytautas Strolia",1164,1240.60154192212,1396.28719268496,1159.12511718959,1250.88689413369,1293.58224470487,"Maksim Fomin",3534,1177.72390883039,1190.91955392816,1191.62475552152,1294.4274716829,1300.00866885712,"Nikita Cigak",4951,1120.34533018059,1221.01823092915,1122.31121618852,1184.77260881597,1273.20504759608,"Karol Dombrovski",844,"1164,3534,4951,844"
"Norway","Norway",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Sturla Holm Lægreid,Johannes Dale-Skjevdal,Johan-Olav Botn,Martin Uldal",7223.76788881355,1805.94197220339,6428.42542262165,1607.10635565541,6794.19314319443,1698.54828579861,6143.69871981245,1535.92467995311,5445.46456963198,1361.366142408,1858.16216041883,1702.35266122777,1777.08689202085,1613.04397121053,1404.86251255989,"Sturla Holm Lægreid",2753,1836.86253637668,1595.14653254012,1736.68735958495,1580.77147170893,1367.03000651424,"Johannes Dale-Skjevdal",3027,1798.9257570186,1592.29366753771,1644.23341752579,1469.582900077,1357.79078413835,"Johan-Olav Botn",4479,1729.81743499944,1538.63256131605,1636.18547406283,1480.300376816,1315.78126641951,"Martin Uldal",4612,"2753,3027,4479,4612"
"Poland","Poland",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Konrad Badacz,Jan Gunka,Grzegorz Galica,Marcin Zawol",5386.45632014026,1346.61408003506,5100.6288936071,1275.15722340177,5385.35389478148,1346.33847369537,5015.86743623603,1253.96685905901,5119.07959119296,1279.76989779824,1497.1576541491,1393.44574037219,1483.10038025675,1257.87589160601,1284.67883358343,"Konrad Badacz",4730,1365.5956489542,1176.88887707383,1401.25279518351,1276.29137551727,1258.39682671662,"Jan Gunka",4559,1320.23778059371,1304.36491349421,1306.82716205337,1274.79657200599,1277.80901227793,"Grzegorz Galica",5077,1203.46523644325,1225.92936266687,1194.17355728785,1206.90359710676,1298.19491861498,"Marcin Zawol",4560,"4730,4559,5077,4560"
"Romania","Romania",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Dmitrii Shamaev,George Coltea,George Buta,Raul Flore",4794.23326854428,1198.55831713607,5108.07750257528,1277.01937564382,4660.42306336426,1165.10576584107,4874.14753648836,1218.53688412209,5139.29962324711,1284.82490581178,1314.51292754223,1471.35971331142,1218.27483746436,1214.79478579892,1257.67883358343,"Dmitrii Shamaev",1312,1241.81875454521,1257.17899750803,1233.75532207542,1212.18633389862,1298.31962612163,"George Coltea",3484,1150.35356528808,1232.53682078075,1143.73793924634,1189.15269055264,1289.91976243892,"George Buta",1015,1087.54802116876,1147.00197097509,1064.65496457815,1258.01372623818,1293.38140110315,"Raul Flore",1402,"1312,3484,1015,1402"
"Slovenia","Slovenia",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Lovro Planko,Jakov Fak,Anton Vidmar,Miha Dovzan",5583.34883895777,1395.83720973944,5691.958473587,1422.98961839675,5697.15759093605,1424.28939773401,4953.1729376518,1238.29323441295,5171.56633285894,1292.89158321474,1457.32791831164,1428.26972618309,1493.18388004923,1195.49636930547,1283.1274077075,"Lovro Planko",3459,1448.98386139359,1518.01060530602,1480.78065663046,1373.69452764538,1336.01035438697,"Jakov Fak",19,1379.52267530043,1446.47683786029,1367.49842012177,1182.17287202493,1254.6031477071,"Anton Vidmar",1692,1297.51438395212,1299.2013042376,1355.6946341346,1201.80916867602,1297.82542305738,"Miha Dovzan",1098,"3459,19,1692,1098"
"Sweden","Sweden",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Martin Ponsiluoma,Sebastian Samuelsson,Jesper Nelin,Victor Brandt",6652.01502107895,1663.00375526974,5924.53717817226,1481.13429454307,6655.80837641,1663.9520941025,5883.64878540345,1470.91219635086,5242.95960396583,1310.73990099146,1780.10833273521,1568.70248759167,1719.45553795392,1576.33592922201,1322.95087951836,"Martin Ponsiluoma",1135,1738.70579843314,1414.64851527622,1778.87185635347,1616.17104854327,1354.4133641995,"Sebastian Samuelsson",1345,1615.91291750586,1528.40984920942,1663.36633041949,1387.37694201458,1272.84920637454,"Jesper Nelin",1266,1517.28797240474,1412.77632609496,1494.11465168312,1303.76486562358,1292.74615387343,"Victor Brandt",3526,"1135,1345,1266,3526"
"Switzerland","Switzerland",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Niklas Hartweg,Sebastian Stalder,Joscha Burkhalter,Jeremy Finello",5821.17683731326,1455.29420932831,5676.3350931928,1419.0837732982,5838.70481280199,1459.6762032005,5321.10044532795,1330.27511133199,5169.24675834975,1292.31168958744,1575.55214773317,1596.69549668384,1567.33854130075,1397.8334860451,1296.78239110243,"Niklas Hartweg",3521,1519.40589569048,1462.41745349282,1497.35148458267,1330.95600387276,1308.88048510874,"Sebastian Stalder",1873,1446.43852251183,1349.12715630359,1500.14948096085,1310.01882034519,1284.09051367124,"Joscha Burkhalter",1401,1279.78027137778,1268.09498671255,1273.86530595772,1282.2921350649,1279.49336846733,"Jeremy Finello",1200,"3521,1873,1401,1200"
"USA","USA",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Campbell Wright,Sean Doherty,Maxime Germain,Paul Schommer",5838.46195230411,1459.61548807603,5709.63095341361,1427.4077383534,5729.86308858196,1432.46577214549,5143.63679749656,1285.90919937414,5198.48142797864,1299.62035699466,1675.14584010316,1569.72692715404,1585.86912070253,1459.7121459747,1364.34207843516,"Campbell Wright",4498,1417.11640290643,1331.65008560584,1433.52668847455,1207.1993690683,1253.19543660887,"Sean Doherty",1073,1380.47130353901,1360.75464855882,1333.87464546053,1284.27900566012,1288.11252923304,"Maxime Germain",4448,1365.72840575551,1447.4992920949,1376.59263394435,1192.44627679343,1292.83138370157,"Paul Schommer",1932,"4498,1073,4448,1932"
"Ukraine","Ukraine",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Vitalii Mandzyn,Dmytro Pidruchnyi,Taras Lesiuk,Anton Dudchenko",5620.16485489599,1405.041213724,5457.710780131,1364.42769503275,5524.8055792273,1381.20139480682,5204.19082370648,1301.04770592662,5075.62851894502,1268.90712973625,1549.67479390334,1454.59568573784,1506.09724762392,1345.94043034229,1255.7427644033,"Vitalii Mandzyn",4760,1456.25897049755,1353.15830214364,1435.47845178527,1366.11760724561,1244.00056837056,"Dmytro Pidruchnyi",471,1316.14714675352,1375.89491804676,1260.27553837354,1227.71284876292,1288.18038674743,"Taras Lesiuk",1520,1298.08394374158,1274.06187420276,1322.95434144457,1264.41993735566,1287.70479942373,"Anton Dudchenko",1691,"4760,471,1520,1691"
