Date,Startlist,Sex,City,Country,Distance,RaceType,Period,Elevation,Championship,Race
11/28/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3474,M,Ruka,Finland,7.5,IndividualCompact,1,388,0,1
11/29/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3475,M,Ruka,Finland,10.0,Individual,1,388,0,2
12/05/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3478,L,Trondheim,Norway,5.0,Individual,1,235,0,1
12/06/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3480,M,Trondheim,Norway,10.0,Mass Start,1,235,0,3
12/06/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3481,L,Trondheim,Norway,5.0,Mass Start,1,235,0,2
12/07/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3482,M,Trondheim,Norway,10.0,Individual,1,235,0,4
12/19/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3492,M,Ramsau,Austria,10.0,Mass Start,1,1106,0,5
12/19/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3491,L,Ramsau,Austria,5.0,Mass Start,1,1106,0,3
12/20/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3494,M,Ramsau,Austria,10.0,Individual,1,1106,0,6
12/20/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3493,L,Ramsau,Austria,5.0,Individual,1,1106,0,4
01/03/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3497,M,Schonach,Germany,10.0,Individual,2,939,0,7
01/03/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3498,L,Schonach,Germany,5.0,Individual,2,939,0,5
01/04/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3499,M,Schonach,Germany,N/A,Team Sprint,2,939,0,8
01/04/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3500,L,Schonach,Germany,N/A,Team Sprint,2,939,0,6
01/09/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3504,M,Otepää,Estonia,10.0,Mass Start,2,139,0,9
01/09/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3503,L,Otepää,Estonia,5.0,Mass Start,2,139,0,7
01/10/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3506,M,Otepää,Estonia,10.0,Individual,2,139,0,10
01/10/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3505,L,Otepää,Estonia,5.0,Individual,3,139,0,8
01/11/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3508,M,Otepää,Estonia,10.0,IndividualCompact,2,139,0,11
01/11/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3507,L,Otepää,Estonia,5.0,IndividualCompact,3,139,0,9
01/17/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3512,M,Oberhof,Germany,10.0,Individual,3,728,0,12
01/17/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3511,L,Oberhof,Germany,5.0,Individual,3,728,0,10
01/18/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3514,M,Oberhof,Germany,10.0,Individual,3,728,0,13
01/18/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3513,L,Oberhof,Germany,5.0,Individual,4,728,0,11
01/30/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3518,M,Seefeld,Austria,10.0,Mass Start,3,1203,0,14
01/30/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3517,L,Seefeld,Austria,5.0,Mass Start,4,1203,0,12
01/31/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3520,M,Seefeld,Austria,7.5,IndividualCompact,3,1203,0,15
01/31/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3519,L,Seefeld,Austria,5.0,IndividualCompact,4,1203,0,13
02/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3522,M,Seefeld,Austria,12.5,Individual,3,1203,0,16
02/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3521,L,Seefeld,Austria,7.5,Individual,5,1203,0,14
02/11/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3534,M,Milano Cortina,Italy,10.0,Individual,4,1082,1,17
02/17/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3535,M,Milano Cortina,Italy,10.0,Individual,4,1082,1,18
02/19/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3536,M,Milano Cortina,Italy,N/A,Team Sprint,4,1082,1,19
02/27/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3524,M,Kulm,Austria,7.5,IndividualCompact,5,835,0,20
03/06/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3528,M,Lahti,Finland,10.0,Individual,5,86,0,21
03/06/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3527,L,Lahti,Finland,5.0,Individual,5,86,0,15
03/07/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3529,Mixed,Lahti,Finland,N/A,Team,5,86,0,1
03/15/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3533,M,Oslo,Norway,10.0,Individual,5,340,0,22
03/15/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=NK&raceid=3532,L,Oslo,Norway,5.0,Individual,5,340,0,16
