FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Type,Sex,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
RIBOM Emma,Emma Ribom,SWE,True,4250,SWEDEN I,1,54:45.3,2,Mixed Relay,F,1602.0382703330022,1557.3426302427004,1488.968141597198,1457.375083491544,1592.698293744022,1539.5605015511794,1553.2837997909842,1548.8017306397817,1557.1757052889095,1844,01/24/25,Engadin,Switzerland
ILAR Moa,Moa Ilar,SWE,True,2017,SWEDEN I,1,54:45.3,4,Mixed Relay,F,1589.5354701601905,1589.884880940698,1510.2875754723586,1482.853379853073,1440.017628506617,1328.2046670359737,1445.0302888654885,1517.6548141173653,1522.4665598496415,1866,01/24/25,Engadin,Switzerland
LUNDGREN Moa,Moa Lundgren,SWE,True,502,SWEDEN I,10,56:28.8,2,Mixed Relay,F,1483.4719624618003,1359.957594210185,1330.34676175369,1317.7753492678485,1530.0032635510263,1469.6680641516068,1496.1169420991455,1430.0686929047358,1441.086610915777,3211,01/24/25,Engadin,Switzerland
DAHLQVIST Maja,Maja Dahlqvist,SWE,True,5751,SWEDEN I,10,56:28.8,4,Mixed Relay,F,1630.4084007369172,1418.6631611235002,1328.9505934446086,1415.0055090030703,1704.208238803556,1589.2694415893798,1688.4343743156408,1498.1855011504126,1628.2859910619345,1673,01/24/25,Engadin,Switzerland
MACKIE Alison,Alison Mackie,CAN,True,225,CANADA I,11,56:29.2,2,Mixed Relay,F,1275.185494434121,1275.825972920416,1297.5396291658342,1268.9929671344426,1292.2131833814683,1293.2785361586114,1291.5846110286411,1294.9330327705345,1267.4823937870574,10185,01/24/25,Engadin,Switzerland
SCHMIDT Sonjaa,Sonjaa Schmidt,CAN,True,230,CANADA I,11,56:29.2,4,Mixed Relay,F,1300.1773346610132,1268.454330659339,1258.8489528637174,1303.663207973161,1323.0555981167056,1255.345138997408,1348.5196991365904,1236.0950562353385,1339.001649693524,7874,01/24/25,Engadin,Switzerland
JANATOVA Katerina,Katerina Janatova,CZE,True,2445,CZECH REPUBLIC I,12,56:29.8,2,Mixed Relay,F,1585.4452019171736,1535.214434159734,1410.378510241579,1471.114640038728,1533.4439059150022,1364.3893507128157,1584.0097657782417,1430.9706391571126,1587.6290163053204,3198,01/24/25,Engadin,Switzerland
HAVLICKOVA Barbora,Barbora Havlickova,CZE,True,232,CZECH REPUBLIC I,12,56:29.8,4,Mixed Relay,F,1218.2115162001844,1222.5661303059703,1265.067844800255,1209.8564135326076,1249.832470857769,1262.105581587998,1262.621987717732,1256.2116242369832,1194.7405659384528,3216,01/24/25,Engadin,Switzerland
DI CENTA Martina,Martina di Centa,ITA,True,215,ITALY I,13,56:44.5,2,Mixed Relay,F,1304.4339678955569,1299.4064364224355,1265.8508157682231,1270.9887582634328,1219.2640663866578,1249.6991248782165,1211.3824821378678,1268.0844150407504,1269.2292772087096,9084,01/24/25,Engadin,Switzerland
GISMONDI Maria,Maria Gismondi,ITA,True,230,ITALY I,13,56:44.5,4,Mixed Relay,F,1312.28260768507,1313.403634300886,1288.1301051336354,1308.0690046038642,1297.2076781939795,1242.574866305937,1296.592126930247,1289.367564071648,1309.5982382196714,10867,01/24/25,Engadin,Switzerland
KERN Julia,Julia Kern,USA,True,1824,UNITED STATES OF AMERICA I,14,57:10.6,2,Mixed Relay,F,1536.5313663164534,1416.3729039648829,1269.8954977145545,1402.981994562508,1583.0970491520593,1465.4273990583183,1582.9504952019,1375.863499139031,1550.7653912195462,1846,01/24/25,Engadin,Switzerland
LAUKLI Sophia,Sophia Laukli,USA,True,1773,UNITED STATES OF AMERICA I,14,57:10.6,4,Mixed Relay,F,1466.3237654364923,1495.1138334622106,1331.7181170197596,1493.388369257389,1177.2940136949046,1225.0510004400803,1184.9154325981765,1316.596094768416,1464.2654714039156,7369,01/24/25,Engadin,Switzerland
MANDELJC Anja,Anja Mandeljc,SLO,True,253,SLOVENIA I,15,57:54.1,2,Mixed Relay,F,1305.917774961805,1329.416969411452,1261.8633941243518,1305.1843131091457,1174.2050763892546,1221.8731060057376,1164.6370111118026,1249.3226674302878,1271.7238521052925,1868,01/24/25,Engadin,Switzerland
UREVC Eva,Eva Urevc,SLO,True,233,SLOVENIA I,15,57:54.1,4,Mixed Relay,F,1304.0653018603846,1287.3264196674904,1268.687768069533,1284.361545349557,1347.6444642726617,1290.4373704252014,1385.823595460393,1262.8683329529356,1347.3734046432364,3192,01/24/25,Engadin,Switzerland
KRAMER Kendall,Kendall Kramer,USA,True,218,UNITED STATES OF AMERICA I,16,58:39.0,2,Mixed Relay,F,1305.7828886781244,1306.0487446408576,1293.6789559726308,1305.7362411365411,1276.5504216361633,1242.574866305937,1277.069218797434,1295.739887092462,1304.6319159445834,6650,01/24/25,Engadin,Switzerland
SMITH Sammy,Sammy Smith,USA,True,226,UNITED STATES OF AMERICA I,16,58:39.0,4,Mixed Relay,F,1272.1155056517146,1205.7811662269569,1227.0151382999145,1246.6272109945364,1339.6321581334084,1286.486551795219,1353.543212875641,1232.5384244616057,1302.5141612741545,10228,01/24/25,Engadin,Switzerland
BYGRAVE Tuva,Tuva Bygrave,AUS,True,222,AUSTRALIA I,17,1:00:22.2,2,Mixed Relay,F,1125.2407407477262,1144.3563767912974,1246.6229989093224,1194.5232571528672,1216.232718884434,1228.1968073578057,1238.7124979363848,1203.9556714502708,1168.0911896892462,6448,01/24/25,Engadin,Switzerland
FORDHAM Rosie,Rosie Fordham,AUS,True,227,AUSTRALIA I,17,1:00:22.2,4,Mixed Relay,F,1227.6234119233254,1225.1094548656197,1232.6835951665416,1256.5058035283237,1273.4865869492578,1242.574866305937,1269.2325555906796,1233.775450612089,1248.3880408288546,6450,01/24/25,Engadin,Switzerland
NIKON Anastasiia,Anastasiia Nikon,UKR,True,217,UKRAINE I,18,1:02:16.2,2,Mixed Relay,F,1070.9690703173435,1154.2989086045204,1209.4264254610391,1221.2943537367378,1144.6483439700958,1200.0863654703826,1168.899627241614,1154.3691279252366,1130.1593141868111,6954,01/24/25,Engadin,Switzerland
OLEKH Viktoriia,Viktoriya Olekh,UKR,True,229,UKRAINE I,18,1:02:16.2,4,Mixed Relay,F,1045.536140194562,1072.9591214019051,1155.569540807636,1153.1460461375311,1155.341857336801,1209.780968170401,1146.7111942804845,1129.9483115412452,1087.2439736031824,540,01/24/25,Engadin,Switzerland
TOLMACHYOVA Yelizaveta,Yelizaveta Tolmachyova,KAZ,True,0,KAZAKHSTAN I,19,,2,Mixed Relay,F,1251.336236744444,1270.9447940758753,1234.601187428449,1272.165536975628,1276.1874705591056,1264.779986312962,1240.462938899013,1273.0232207797967,1268.779239125569,9324,01/24/25,Engadin,Switzerland
KINYBAEYEVA Laura,Laura Kinybaeyeva,KAZ,True,0,KAZAKHSTAN I,19,,4,Mixed Relay,F,1228.6988243339445,1272.0317505976143,1234.601187428449,1273.165536975628,1249.489288455139,1259.9799863129622,1268.591940945686,1269.3803636369396,1245.9307077547692,6958,01/24/25,Engadin,Switzerland
SANNESS Nora,Nora Sanness,NOR,True,2637,NORWAY I,2,55:04.8,2,Mixed Relay,F,1538.6197442197936,1552.3046153047917,1414.7860847991465,1450.0958153216525,1264.2152816943633,1275.0017667129212,1273.911901824088,1403.099289432461,1461.1618130996585,6324,01/24/25,Engadin,Switzerland
FOSNAES Kristin Austgulen,Kristin Austgulen Fosnæs,NOR,True,3310,NORWAY I,2,55:04.8,4,Mixed Relay,F,1566.7285132368045,1570.9627103466073,1444.6106123668978,1450.328560220947,1355.454634597109,1308.7818497711228,1356.5129096430126,1443.4437735556232,1485.640141677677,4268,01/24/25,Engadin,Switzerland
WEBER Anja,Anja Weber,SUI,True,515,SWITZERLAND I,3,55:18.3,2,Mixed Relay,F,1484.5025186406283,1367.9022078422254,1330.651213475532,1314.680042055181,1478.7786822836492,1376.2983554626578,1467.2250671880277,1384.9088749542846,1446.0331270716742,6338,01/24/25,Engadin,Switzerland
FAEHNDRICH Nadine,Nadine Fähndrich,SUI,True,4352,SWITZERLAND I,3,55:18.3,4,Mixed Relay,F,1619.4086114080285,1460.4264384241892,1433.1233698300596,1405.6718390675992,1697.9358929479563,1597.440479823672,1664.2640755449909,1548.3676024629065,1581.026188774229,1590,01/24/25,Engadin,Switzerland
HARVIKEN Johanne Hauge,Johanne Hauge Harviken,NOR,True,233,NORWAY I,4,55:18.8,2,Mixed Relay,F,1359.356309142026,1309.8274324703889,1291.8043868055609,1316.849472447337,1355.9045472652097,1242.574866305937,1365.3874047322292,1292.3453518895724,1366.408403065678,2345,01/24/25,Engadin,Switzerland
KALVAA Anne Kjersti,Anne Kjersti Kalvå,NOR,True,845,NORWAY I,4,55:18.8,4,Mixed Relay,F,1573.0273378303975,1570.0511828519666,1459.778679681924,1528.886929435436,1470.3481651037484,1375.4180068647115,1476.16444206642,1466.8256858430116,1569.2904884148056,1498,01/24/25,Engadin,Switzerland
JOENSUU Jasmi,Jasmi Joensuu,FIN,True,4440,FINLAND I,5,55:24.1,2,Mixed Relay,F,1645.3356626985849,1475.653779300454,1462.4480238570106,1325.167377424111,1634.8709611128877,1530.001470704097,1608.4629388562355,1560.9893928588128,1572.3498088868546,1675,01/24/25,Engadin,Switzerland
RYYTTY Vilma,Vilma Ryytty,FIN,True,214,FINLAND I,5,55:24.1,4,Mixed Relay,F,1285.8895721863914,1291.1972601870111,1227.3073407675577,1317.9594982170663,1259.210687704272,1242.574866305937,1244.7661457564716,1232.4373113344002,1304.7882590114166,6607,01/24/25,Engadin,Switzerland
STEWART-JONES Katherine,Kathrine Stewart-Jones,CAN,True,534,CANADA I,6,55:30.0,2,Mixed Relay,F,1367.427834733729,1409.3759119125646,1376.1321310568442,1377.699738653709,1213.9372624609068,1210.0633690591665,1229.2182081196804,1334.9191979024467,1350.4714336695324,1676,01/24/25,Engadin,Switzerland
GAGNON Liliane,Liliane Gagnon,CAN,True,301,CANADA I,6,55:30.0,4,Mixed Relay,F,1366.606598420946,1326.788638326313,1265.7289686485951,1321.5212880909291,1343.0112144975944,1266.7168774775632,1358.578752779708,1261.617847294401,1367.049677099227,7427,01/24/25,Engadin,Switzerland
KAELIN Nadja,Nadja Kälin,SUI,True,854,SWITZERLAND I,7,55:35.6,2,Mixed Relay,F,1417.0911717909642,1431.9671854452629,1363.134107160342,1328.9904851893898,1269.6962572642624,1269.665130095562,1270.5212275932536,1355.390367270047,1330.6799054357484,6639,01/24/25,Engadin,Switzerland
KAELIN Marina,Marina Kälin,SUI,True,220,SWITZERLAND I,7,55:35.6,4,Mixed Relay,F,1346.4406107160528,1344.5864746020106,1328.4374459368437,1315.906945005648,1323.0063601680577,1298.865155547364,1323.7631769292211,1331.69455934837,1325.4610342098508,7433,01/24/25,Engadin,Switzerland
STADLOBER Teresa,Teresa Stadlober,AUT,True,5411,AUSTRIA I,8,55:57.1,2,Mixed Relay,F,1636.9461184217682,1685.1444674259942,1632.073864251371,1525.9103356389944,1232.2979609541758,1247.556694862228,1219.485118398963,1586.7897728600055,1486.724003297314,529,01/24/25,Engadin,Switzerland
BRUDERMANN Katharina,Katharina Brudermann,AUT,True,227,AUSTRIA I,8,55:57.1,4,Mixed Relay,F,1262.0330559292993,1267.385273865512,1281.0078244431982,1287.7955535136407,1269.630484433672,1273.401766712921,1282.4833303955168,1268.2175929046746,1282.7958631070337,5040,01/24/25,Engadin,Switzerland
SAUERBREY Katherine,Katherine Sauerbrey,GER,True,358,GERMANY I,9,56:23.7,2,Mixed Relay,F,1414.9889742391615,1422.3324310118876,1419.4038220496798,1301.98047753655,1258.212700349978,1290.7369917482747,1235.0472549719643,1415.1083145119117,1289.3397749986796,1727,01/24/25,Engadin,Switzerland
DIETZE Anna-Maria,Anna-Maria Dietze,GER,True,219,GERMANY I,9,56:23.7,4,Mixed Relay,F,1320.2283386526262,1310.481663102864,1293.7988602987186,1305.6468886126606,1307.5895014029247,1273.95481360515,1331.0660875556134,1275.3833320322046,1337.9864468057208,3214,01/24/25,Engadin,Switzerland
