Team_Name,Nation,Team_Rank,Race_Date,City,Country,Price,Is_Present,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Team_API_ID,Member_1,Member_1_ID,Member_1_Elo,Member_1_Distance_Elo,Member_1_Distance_C_Elo,Member_1_Distance_F_Elo,Member_1_Sprint_Elo,Member_1_Sprint_C_Elo,Member_1_Sprint_F_Elo,Member_1_Classic_Elo,Member_1_Freestyle_Elo,Member_2,Member_2_ID,Member_2_Elo,Member_2_Distance_Elo,Member_2_Distance_C_Elo,Member_2_Distance_F_Elo,Member_2_Sprint_Elo,Member_2_Sprint_C_Elo,Member_2_Sprint_F_Elo,Member_2_Classic_Elo,Member_2_Freestyle_Elo
NORWAY II,NORWAY,1,01/23/2026,Goms,Switzerland,4499,True,Team Sprint,2954.381060364757,2918.8404505440103,2766.161565943942,2837.98241305001,2766.5621657551283,2704.502298497222,2790.3669899788247,2767.952976456824,2913.24507283411,3425822,Karoline Grøtting,6419.0,1468.717676203537,1406.249874485168,1308.3873050503755,1357.4774411125034,1314.1762058319025,1290.764728394449,1321.4322845171214,1331.4725136764123,1425.9975199508312,Tiril Udnes Weng,1668,1485.6633841612202,1512.5905760588423,1457.7742608935664,1480.5049719375068,1452.385959923226,1413.737570102773,1468.9347054617033,1436.4804627804122,1487.247552883279
NORWAY I,NORWAY,10,01/23/2026,Goms,Switzerland,18683,True,Team Sprint,3357.399520003585,3337.876204725544,3063.5119442112764,3066.9981906742423,2778.270903149417,2678.3591696965127,2779.9714027068444,3103.993171073528,3146.863928518806,3425825,Astrid Øyre Slind,115.0,1741.3499215362615,1769.2123023811953,1602.473566336953,1612.9885201215016,1376.0582204979246,1326.3660044387236,1386.324066662548,1612.456940699071,1631.0448224075196,Julie Bjervig Drivenes,3357,1616.0495984673237,1568.6639023443486,1461.0383778743235,1454.009670552741,1402.212682651492,1351.993165257789,1393.6473360442965,1491.536230374457,1515.8191061112864
CANADA I,CANADA,11,01/23/2026,Goms,Switzerland,6439,True,Team Sprint,2587.799122425613,2481.859335865861,2431.4508972640283,2547.1942551822385,2684.322709305678,2550.5638224900163,2708.0630318491467,2458.684341816583,2648.953979273593,3105195,Liliane Gagnon,7427.0,1325.8821295480102,1291.129513202967,1255.7723390643264,1299.315548441185,1339.1041915391413,1262.33319271785,1344.9283195164342,1257.6502971239968,1330.3804541954394,Olivia Bouffard-Nesbitt,1685,1261.916992877603,1190.729822662894,1175.678558199702,1247.8787067410535,1345.2185177665367,1288.2306297721664,1363.1347123327123,1201.0340446925863,1318.573525078154
FRANCE II,FRANCE,12,01/23/2026,Goms,Switzerland,343,True,Team Sprint,2625.346376813385,2531.2923732057297,2508.225584415649,2559.659723481768,2646.753917008611,2591.208274525051,2655.8960971584656,2551.04571049493,2607.8553746941234,3195405,Margot Tirloy,10829.0,1319.1307507501715,1277.4717365568977,1238.8277046136975,1311.384265381267,1331.865509702232,1286.4321896480333,1372.3668983141904,1247.8107468024643,1365.5490790374802,Julie Pierrel,7444,1306.215626063214,1253.820636648832,1269.3978798019511,1248.275458100501,1314.888407306379,1304.7760848770174,1283.529198844275,1303.2349636924655,1242.306295656643
SWITZERLAND I,SWITZERLAND,13,01/23/2026,Goms,Switzerland,15563,True,Team Sprint,2879.123387373634,2769.658104036419,2690.6946600114297,2678.942684884979,2789.6027666212185,2580.212591938747,2887.7981412119207,2668.42655489751,2875.6693551576673,3515213,Nadja Kälin,6639.0,1531.8725102979945,1511.6758619232685,1430.7793403152168,1411.0517219022995,1403.1087760078256,1332.7154739526156,1406.597210548934,1430.9843214628124,1482.8433299772078,Alina Meier,1680,1347.2508770756397,1257.9822421131505,1259.9153196962131,1267.8909629826796,1386.493990613393,1247.4971179861318,1481.2009306629866,1237.4422334346975,1392.8260251804595
AUSTRIA I,AUSTRIA,14,01/23/2026,Goms,Switzerland,1912,True,Team Sprint,2735.048466810187,2567.107108989223,2569.5595038795436,2563.8932985746387,2753.220456083539,2618.3958441139202,2786.6590845407673,2618.1165878975617,2735.5116887041786,3055176,Heidi Bucher,10823.0,1319.937376808758,1301.373977255088,1300.2815937577018,1299.354844091786,1315.3441747089164,1299.525710436709,1318.252666733131,1304.6768010465494,1319.0791336376212,Magdalena Scherz,6707,1415.111090001429,1265.7331317341352,1269.2779101218418,1264.538454482853,1437.8762813746227,1318.870133677211,1468.4064178076364,1313.439786851012,1416.4325550665571
UNITED STATES OF AMERICA II,UNITED STATES OF AMERICA,15,01/23/2026,Goms,Switzerland,3876,True,Team Sprint,2500.112671524418,2525.654379338497,2563.4656111589798,2547.485793803377,2519.2395529237165,2484.992497044223,2539.7237248035044,2509.315469837049,2531.2511597241223,3535473,Lauren Jortberg,3997.0,1220.4675128415895,1249.836200344763,1280.6457584144969,1257.385475778061,1237.8990614598742,1217.614087631754,1259.0651712817812,1224.8331237757448,1237.0258761351972,Kendall Kramer,6650,1279.6451586828289,1275.818178993734,1282.819852744483,1290.100318025316,1281.340491463842,1267.378409412469,1280.6585535217234,1284.4823460613045,1294.225283588925
FINLAND II,FINLAND,16,01/23/2026,Goms,Switzerland,1750,True,Team Sprint,2913.5748076501427,2945.7463782279283,2726.0856391419056,2808.2304823123504,2525.6202019696266,2575.7973971267975,2481.765402817624,2719.5340230691954,2806.2489932293574,3185378,Vilma Ryytty,6607.0,1448.7080508608854,1490.7912736724093,1343.3937605659917,1429.0885366628538,1208.5495077074022,1279.4077994041309,1175.7856783421516,1329.621799412575,1401.441290371364,Vilma Nissinen,3034,1464.8667567892574,1454.9551045555193,1382.691878575914,1379.1419456494968,1317.0706942622242,1296.3895977226664,1305.9797244754725,1389.9122236566204,1404.8077028579933
AUSTRALIA I,AUSTRALIA,17,01/23/2026,Goms,Switzerland,747,True,Team Sprint,2453.083162524925,2476.826653070179,2422.539348897092,2532.7051920633457,2454.2398654321178,2437.902799855454,2496.2142567617175,2358.50774823301,2530.1027546188807,3045103,Rosie Fordham,6450.0,1341.4294499705034,1336.841151294958,1220.39900149572,1347.5027398259654,1281.9005313372709,1265.5139273325242,1279.1261210247844,1219.2552143818918,1373.831320181817,Ellen Søhol Lie,6627,1111.6537125544212,1139.9855017752209,1202.1403474013723,1185.2024522373806,1172.339334094847,1172.3888725229294,1217.088135736933,1139.252533851118,1156.2714344370636
POLAND I,POLAND,18,01/23/2026,Goms,Switzerland,4082,True,Team Sprint,2383.609799248329,2431.133476588041,2499.383637042395,2522.898968221767,2471.5146782664897,2488.6663892362803,2562.791174959485,2425.770342437144,2503.18158587147,3430261,Zuzanna Fujak,8059.0,1228.7113564641584,1245.2061603377565,1267.1679645181605,1271.4238040377518,1247.8448953746008,1246.2055606777567,1295.3947580555507,1233.543504019615,1270.958565417102,Oliwia Busko,8069,1154.8984427841706,1185.9273162502843,1232.2156725242344,1251.475164184015,1223.6697828918889,1242.4608285585234,1267.396416903934,1192.2268384175288,1232.2230204543678
UKRAINE I,UKRAINE,19,01/23/2026,Goms,Switzerland,3891,True,Team Sprint,2058.6456184784465,2156.3629715738725,2305.960406991443,2324.607470709425,2257.3950029631824,2390.3718893844425,2259.2279309484757,2225.440423803516,2162.603265001537,3695048,Anastasiia Nikon,6954.0,1014.2428372624248,1070.268151543635,1161.736165799847,1137.80517182195,1099.357425631425,1173.584583571025,1100.123453693977,1114.0703293504334,1045.025211340082,Sofiia Shkatula,10768,1044.4027812160216,1086.0948200302378,1144.2242411915963,1186.8022988874748,1158.0375773317576,1216.7873058134178,1159.104477254499,1111.3700944530826,1117.5780536614548
GERMANY I,GERMANY,2,01/23/2026,Goms,Switzerland,15142,True,Team Sprint,3117.5193930130654,2797.0182987568787,2803.803738153213,2570.947488156456,3264.7888189688683,3087.5478483381276,3211.547024554804,3029.3810709366,3000.7467320014975,3205415,Laura Gimmler,1495.0,1592.724641935191,1426.4944440111844,1419.7520207817718,1292.998123761228,1612.6234179765777,1568.607551629237,1552.4911193977116,1549.5731485604094,1494.9589615160871,Coletta Rydzek,3254,1524.7947510778745,1370.5238547456945,1384.0517173714416,1277.949364395228,1652.1654009922909,1518.9402967088909,1659.0559051570924,1479.8079223761904,1505.7877704854102
CZECH REPUBLIC I,CZECH REPUBLIC,20,01/23/2026,Goms,Switzerland,9084,True,Team Sprint,2456.293515470002,2368.4783565666676,2494.3066379034562,2437.089667937176,2546.587735533014,2587.9404700359373,2510.0318803295736,2566.5707945250583,2429.965274817641,3155265,Barbora Havlickova,3216.0,1129.00064944875,1149.9877905126598,1247.1768992939217,1164.653512266589,1215.245285781935,1262.6104641130544,1203.6350050843623,1242.3832739461611,1131.5254160806792,Barbora Antosova,6633,1327.2928660212522,1218.4905660540078,1247.1297386095346,1272.436155670587,1331.3424497510791,1325.3300059228832,1306.3968752452113,1324.1875205788972,1298.4398587369617
PEOPLES REPUBLIC OF CHINA I,PEOPLES REPUBLIC OF CHINA,21,01/23/2026,Goms,Switzerland,4696,True,Team Sprint,2363.6132189729346,2408.6211328396967,2458.69015917909,2422.2854890934323,2392.051226276132,2365.2716722900877,2445.8632293350192,2377.3521617636443,2402.5790783430575,3125059,Dinigeer Yilamujiang,6575.0,1073.175750648673,1116.5955365478544,1195.3627013135235,1165.4249639638394,1145.5670034544394,1176.8844474083187,1169.98783967582,1137.1362245903229,1118.3331040832063,Chunxue Chi,1660,1290.4374683242615,1292.0255962918425,1263.3274578655669,1256.8605251295926,1246.4842228216926,1188.3872248817688,1275.8753896591993,1240.2159371733212,1284.245974259851
KOREA I,KOREA,22,01/23/2026,Goms,Switzerland,651,True,Team Sprint,2132.678462123255,2170.779975848567,2368.2567098999516,2306.3094719155406,2388.838765988864,2409.996696950692,2446.728410906984,2300.175329987759,2234.533396587233,3325102,Da-Som Han,1519.0,1055.6478984394346,1092.8074475895546,1204.9028214076477,1145.7414070173418,1162.160955526754,1169.6314363289914,1208.7020894588527,1142.377400553827,1100.3674310216388,Eui Jin Lee,6644,1077.0305636838204,1077.9725282590127,1163.353888492304,1160.5680648981988,1226.6778104621103,1240.3652606217004,1238.0263214481315,1157.797929433932,1134.165965565594
FINLAND I,FINLAND,3,01/23/2026,Goms,Switzerland,13782,True,Team Sprint,3190.341851343662,2946.5481168994374,2871.155500801835,2739.4682905264963,3235.0838130184407,3062.608779600615,3168.3674259553036,3096.163580585582,3031.3481582933573,3185375,Jasmin Kähärä,3528.0,1524.549089118031,1411.2828387515951,1325.434510977411,1381.88877526148,1542.8455733988317,1460.4855202240014,1524.8350428580748,1437.8674361280812,1499.499457873584,Jasmi Joensuu,1675,1665.7927622256311,1535.265278147842,1545.720989824424,1357.5795152650162,1692.238239619609,1602.1232593766133,1643.5323830972286,1658.296144457501,1531.8487004197734
SWEDEN I,SWEDEN,4,01/23/2026,Goms,Switzerland,25117,True,Team Sprint,2985.5390418235584,2685.7693124909624,2713.116113089319,2507.6284747098525,3144.7703050876808,3014.460648564843,3067.971488253942,2968.144975810952,2832.4508943358355,3505793,Märta Rosenberg,6689.0,1458.5063362243427,1398.4474868613872,1393.532994122223,1289.969328360923,1429.2406542691083,1377.357915654731,1411.7574093633075,1431.7411870886715,1386.1852339615275,Johanna Hagström,3212,1527.032705599216,1287.3218256295752,1319.5831189670955,1217.6591463489292,1715.5296508185725,1637.102732910112,1656.2140788906345,1536.4037887222803,1446.265660374308
UNITED STATES OF AMERICA I,UNITED STATES OF AMERICA,5,01/23/2026,Goms,Switzerland,17328,True,Team Sprint,2813.138614547715,2745.2301077495576,2618.996002989321,2709.135992004254,2825.234951552995,2723.4063014940652,2862.494837502039,2696.346081619223,2815.725006317276,3535469,Samantha Smith,,1249.7590612325384,1260.8766309222005,1276.7383732941207,1276.5484907875607,1270.847383697976,1276.6173951759602,1274.188391151095,1268.712443331986,1264.6891716720247,Julia Kern,1846,1563.3795533151765,1484.353476827357,1342.2576296952002,1432.5875012166932,1554.387567855019,1446.788906318105,1588.306446350944,1427.633638287237,1551.0358346452515
ITALY I,ITALY,6,01/23/2026,Goms,Switzerland,6214,True,Team Sprint,2839.607302075983,2560.2235490606718,2576.2456272170875,2544.6120566819627,2973.3962151118685,2783.0029510047566,2993.695312817503,2716.402939651867,2815.9284256622586,3295216,Iris De Martin Pinter,7422.0,1433.0635091543736,1313.2074170144715,1313.8311960260676,1298.7000371427669,1457.3354267616476,1379.71837869478,1449.4568125143128,1372.4911598825972,1396.2442654155068,Federica Cassol,9082,1406.5437929216096,1247.0161320462,1262.41443119102,1245.912019539196,1516.0607883502207,1403.2845723099765,1544.2385003031902,1343.91177976927,1419.6841602467518
FRANCE I,FRANCE,7,01/23/2026,Goms,Switzerland,4840,True,Team Sprint,2790.9303668997463,2701.4907763281794,2518.2745337506694,2717.6745459536087,2699.5394932191134,2580.1767315252855,2731.649507439759,2553.3441735099796,2841.553282832532,3195402,Leonie Perry,10413.0,1409.5324133777283,1435.7599092613111,1300.0849429542934,1427.3486816232387,1262.0313035180684,1239.186744083097,1294.521931960939,1268.2776463265327,1451.4126550932383,Melissa Gal,4034,1381.3979535220178,1265.7308670668683,1218.1895907963758,1290.3258643303698,1437.508189701045,1340.9899874421883,1437.1275754788203,1285.066527183447,1390.140627739294
GERMANY II,GERMANY,8,01/23/2026,Goms,Switzerland,4595,True,Team Sprint,2779.414559512692,2688.0406349527466,2617.141324403677,2666.7640982908706,2788.2362290692463,2638.4827704604077,2848.8080352620404,2653.077841756539,2791.362681335085,3205419,Sofie Krehl,1695.0,1484.0257448751436,1419.6779097662609,1333.9881649583804,1402.3066821232944,1463.6470507461013,1373.015875589272,1497.1527144149554,1379.6155678930206,1487.3500401989008,Lena Keck,4825,1295.3888146375484,1268.3627251864857,1283.1531594452968,1264.4574161675762,1324.5891783231448,1265.4668948711358,1351.655320847085,1273.4622738635182,1304.0126411361844
ITALY II,ITALY,9,01/23/2026,Goms,Switzerland,1263,True,Team Sprint,2962.495424361543,2755.9463014515577,2702.0901248072632,2660.34099290869,2954.2634947082715,2845.95440848445,2914.5222348375123,2837.2574780474188,2879.071001984008,3295215,Caterina Ganz,1721.0,1570.93566484924,1542.377452358647,1471.4907543735292,1434.3748881566528,1454.6087057575642,1406.6856117354312,1437.1055718548496,1484.5155423116412,1509.002754316855,Nicole Monsorno,6631,1391.559759512303,1213.568849092911,1230.5993704337338,1225.9661047520372,1499.6547889507076,1439.2687967490187,1477.4166629826627,1352.7419357357776,1370.068247667153
